NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRA	58	7.208322525024414	0.03940225	No	
row_1	TTN	83	6.221593856811523	0.074910715	No	
row_2	SIX4	455	2.661418914794922	0.069338575	No	
row_3	CAPN3	1087	1.6002346277236938	0.042510312	No	
row_4	TNNT1	1733	1.1052712202072144	0.011941507	No	
row_5	SRC	1913	1.0043503046035767	0.0075944536	No	
row_6	CSRP2	2041	0.9523508548736572	0.0059318845	No	
row_7	NEBL	2413	0.7992048263549805	-0.0106819	No	
row_8	EPB41L1	3379	0.5250275731086731	-0.063108414	No	
row_9	LMOD3	3683	0.4652659296989441	-0.07778856	No	
row_10	MYOZ2	3797	0.44813272356987	-0.081635036	No	
row_11	EPB41L5	4220	0.3535231351852417	-0.10382666	No	
row_12	PDGFRB	4677	0.270439088344574	-0.12846775	No	
row_13	FAM171A1	5797	0.1067257821559906	-0.19223781	No	
row_14	F11R	5838	0.10216792672872543	-0.19393419	No	
row_15	PROX1	6027	0.07829298079013824	-0.2042901	No	
row_16	EPB41L2	6417	0.031978264451026917	-0.226489	No	
row_17	CDC42BPA	7195	-0.007372470572590828	-0.2711647	No	
row_18	CFLAR	7261	-0.012273848056793213	-0.27483293	No	
row_19	NEB	7678	-0.05254252627491951	-0.29846382	No	
row_20	TMOD3	7697	-0.05509642884135246	-0.29917312	No	
row_21	MYBPC1	8076	-0.09867490082979202	-0.32034343	No	
row_22	SORBS1	8080	-0.09885376691818237	-0.31992996	No	
row_23	EPB41L4B	8217	-0.11673291027545929	-0.32706517	No	
row_24	CUL3	8239	-0.12011951953172684	-0.32756156	No	
row_25	ANLN	8648	-0.1691463142633438	-0.35004067	No	
row_26	TJP1	8927	-0.20525576174259186	-0.36482364	No	
row_27	TCAP	9008	-0.21665704250335693	-0.36814332	No	
row_28	PDCD6IP	9413	-0.2733221650123596	-0.3897745	No	
row_29	ITGB5	9757	-0.3226446807384491	-0.40760246	No	
row_30	CSRP1	9899	-0.3438972532749176	-0.4136785	No	
row_31	EPB41L3	9908	-0.345260351896286	-0.41209176	No	
row_32	MYL9	10712	-0.48044297099113464	-0.4554589	No	
row_33	CASQ1	10999	-0.5283113718032837	-0.4687868	No	
row_34	RHOA	11730	-0.6778627038002014	-0.50678194	No	
row_35	ZYX	11760	-0.6826786994934082	-0.5044032	No	
row_36	WDR1	12107	-0.7647578716278076	-0.51978236	No	
row_37	ROCK2	12421	-0.84334397315979	-0.5327963	No	
row_38	EPB41L4A	12717	-0.9284886121749878	-0.54426944	No	
row_39	CDC42BPB	12804	-0.9498661756515503	-0.543587	No	
row_40	MYH6	12834	-0.9584002494812012	-0.53957343	No	
row_41	IQGAP2	12843	-0.9615005850791931	-0.5343328	No	
row_42	ROCK1	12859	-0.9654237627983093	-0.5294719	No	
row_43	RACGAP1	12916	-0.9799321889877319	-0.52688456	No	
row_44	TMOD2	12966	-0.9957058429718018	-0.52380085	No	
row_45	OBSL1	13163	-1.0530879497528076	-0.5288373	No	
row_46	OBSCN	13202	-1.0683674812316895	-0.5246897	No	
row_47	MYPN	13433	-1.1384468078613281	-0.5311769	No	
row_48	IQGAP3	14017	-1.3202658891677856	-0.5569026	No	
row_49	ALKBH4	14195	-1.3807061910629272	-0.55890304	No	
row_50	FLNC	14721	-1.6210850477218628	-0.57950693	Yes	
row_51	ACTA1	14723	-1.6217883825302124	-0.5699484	Yes	
row_52	KCTD13	14729	-1.6255050897598267	-0.560598	Yes	
row_53	PHACTR1	14810	-1.663460612297058	-0.55533916	Yes	
row_54	RTKN	14826	-1.6724425554275513	-0.54628605	Yes	
row_55	FLII	14968	-1.7453696727752686	-0.5440523	Yes	
row_56	PGM5	14982	-1.753909945487976	-0.53440106	Yes	
row_57	DNM2	14992	-1.7592473030090332	-0.5244879	Yes	
row_58	ARRB1	15261	-1.9251129627227783	-0.52849776	Yes	
row_59	LUZP1	15317	-1.9548975229263306	-0.52007204	Yes	
row_60	MYH10	15628	-2.1549253463745117	-0.5251366	Yes	
row_61	TNFAIP1	15682	-2.1865696907043457	-0.5152221	Yes	
row_62	LMOD1	15695	-2.1937038898468018	-0.50290555	Yes	
row_63	FHDC1	15708	-2.204801082611084	-0.49052328	Yes	
row_64	FHOD3	15802	-2.2678592205047607	-0.48242894	Yes	
row_65	ACTC1	15840	-2.292633056640625	-0.4709647	Yes	
row_66	CDC42BPG	15885	-2.3268373012542725	-0.45970055	Yes	
row_67	IQGAP1	15976	-2.3934667110443115	-0.4506888	Yes	
row_68	MYH9	16270	-2.6481237411499023	-0.45185056	Yes	
row_69	MYH11	16540	-2.9997918605804443	-0.4495459	Yes	
row_70	FRMD5	16641	-3.1315817832946777	-0.43673316	Yes	
row_71	EPB41	16791	-3.3665664196014404	-0.42534727	Yes	
row_72	SYNPO2L	16822	-3.4342992305755615	-0.40671086	Yes	
row_73	PDLIM1	16832	-3.4504897594451904	-0.38676983	Yes	
row_74	VPS4A	16863	-3.4985640048980713	-0.36775237	Yes	
row_75	ACTN2	16913	-3.609066963195801	-0.34917325	Yes	
row_76	MYOM3	16926	-3.6412153244018555	-0.328274	Yes	
row_77	MYO18A	16994	-3.8155319690704346	-0.30950665	Yes	
row_78	TPM1	17031	-3.99967885017395	-0.28786325	Yes	
row_79	TNNT3	17142	-4.351704120635986	-0.26839158	Yes	
row_80	CSRP3	17216	-4.816605091094971	-0.24403387	Yes	
row_81	MYBPH	17302	-5.403885841369629	-0.21688464	Yes	
row_82	MYH3	17366	-6.202403545379639	-0.18373457	Yes	
row_83	MYOM1	17397	-6.772512912750244	-0.14530486	Yes	
row_84	FRMD3	17413	-7.103232383728027	-0.104050905	Yes	
row_85	KLHL41	17439	-8.157430648803711	-0.057121817	Yes	
row_86	TNNT2	17456	-9.837677001953125	2.8795458E-4	Yes	
